Sentence ##sep#Word#sep#POS#sep#Tag
#sep#is#sep#pos#sep#O
#sep#no#sep#pos#sep#O
#sep#previous#sep#pos#sep#O
#sep#report#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#literature#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#QT#sep#pos#sep#O
#sep#time#sep#pos#sep#O
#sep#prolongation#sep#pos#sep#O
#sep#caused#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#lincosamides#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 3#sep#Decontamination#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#medical#sep#pos#sep#O
#sep#equipment#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#manufacturer#sep#pos#sep#O
#sep#'#sep#pos#sep#O
#sep#s#sep#pos#sep#O
#sep#problems#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 4#sep#1#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 5#sep#Small#sep#pos#sep#O
#sep#items#sep#pos#sep#O
#sep#sent#sep#pos#sep#O
#sep#via#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#post#sep#pos#sep#O
#sep#present#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#much#sep#pos#sep#O
#sep#greater#sep#pos#sep#O
#sep#hidden#sep#pos#sep#O
#sep#hazard#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#higher#sep#pos#sep#O
#sep#potential#sep#pos#sep#O
#sep#for#sep#pos#sep#O
#sep#catching#sep#pos#sep#O
#sep#people#sep#pos#sep#O
#sep#unawares#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 6#sep#2#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 7#sep#Large#sep#pos#sep#O
#sep#items#sep#pos#sep#O
#sep#accompanied#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#Decontamination#sep#pos#sep#O
#sep#Certificate#sep#pos#sep#O
#sep#need#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#treated#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#caution#sep#pos#sep#O
#sep#because#sep#pos#sep#O
#sep#only#sep#pos#sep#O
#sep#those#sep#pos#sep#O
#sep#surfaces#sep#pos#sep#O
#sep#which#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#accessible#sep#pos#sep#O
#sep#will#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#been#sep#pos#sep#O
#sep#cleaned#sep#pos#sep#O
#sep#;#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#soon#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#engineers#sep#pos#sep#O
#sep#start#sep#pos#sep#O
#sep#dismantling#sep#pos#sep#O
#sep#equipment#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#areas#sep#pos#sep#O
#sep#which#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#still#sep#pos#sep#O
#sep#soiled#sep#pos#sep#O
#sep#become#sep#pos#sep#O
#sep#exposed#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 8#sep#3#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 9#sep#Total#sep#pos#sep#O
#sep#co#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#operation#sep#pos#sep#O
#sep#between#sep#pos#sep#O
#sep#hospital#sep#pos#sep#O
#sep#staff#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#service#sep#pos#sep#O
#sep#engineers#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#necessary#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#resolve#sep#pos#sep#O
#sep#these#sep#pos#sep#O
#sep#problems#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#neither#sep#pos#sep#O
#sep#can#sep#pos#sep#O
#sep#work#sep#pos#sep#O
#sep#safely#sep#pos#sep#O
#sep#without#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#assistance#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#other#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 10#sep#4#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 11#sep#Many#sep#pos#sep#O
#sep#products#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#use#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#hospitals#sep#pos#sep#O
#sep#may#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#up#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#20#sep#pos#sep#O
#sep#years#sep#pos#sep#O
#sep#old#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#clearly#sep#pos#sep#O
#sep#were#sep#pos#sep#O
#sep#not#sep#pos#sep#O
#sep#designed#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#facilitate#sep#pos#sep#O
#sep#decontamination#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#therefore#sep#pos#sep#O
#sep#present#sep#pos#sep#O
#sep#far#sep#pos#sep#O
#sep#greater#sep#pos#sep#O
#sep#risk#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#all#sep#pos#sep#O
#sep#concerned#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 12#sep#5#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 13#sep#For#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#future#sep#pos#sep#O
#sep#there#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#clearly#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#responsibility#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#manufacturers#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#give#sep#pos#sep#O
#sep#more#sep#pos#sep#O
#sep#thought#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#design#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#their#sep#pos#sep#O
#sep#equipment#sep#pos#sep#O
#sep#so#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#decontamination#sep#pos#sep#O
#sep#can#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#achieved#sep#pos#sep#O
#sep#more#sep#pos#sep#O
#sep#effectively#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 14#sep#Enterococci#sep#pos#sep#O
#sep#at#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#crossroads#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#food#sep#pos#sep#O
#sep#safety#sep#pos#sep#O
#sep#?#sep#pos#sep#O
Sentence: 15#sep#Enterococci#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#gram#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#positive#sep#pos#sep#O
#sep#bacteria#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#fit#sep#pos#sep#O
#sep#within#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#general#sep#pos#sep#O
#sep#definition#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#lactic#sep#pos#sep#O
#sep#acid#sep#pos#sep#O
#sep#bacteria#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 16#sep#Modern#sep#pos#sep#O
#sep#classification#sep#pos#sep#O
#sep#techniques#sep#pos#sep#O
#sep#resulted#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#transfer#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#some#sep#pos#sep#O
#sep#members#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#genus#sep#pos#sep#O
#sep#Streptococcus#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#notably#sep#pos#sep#O
#sep#some#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#Lancefield#sep#pos#sep#O
#sep#'#sep#pos#sep#O
#sep#s#sep#pos#sep#O
#sep#group#sep#pos#sep#O
#sep#D#sep#pos#sep#O
#sep#streptococci#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#new#sep#pos#sep#O
#sep#genus#sep#pos#sep#O
#sep#Enterococcus#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 17#sep#Enterococci#sep#pos#sep#O
#sep#can#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#used#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#indicators#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#faecal#sep#pos#sep#B-Organism_substance
#sep#contamination#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 18#sep#They#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#been#sep#pos#sep#O
#sep#implicated#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#outbreaks#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#foodborne#sep#pos#sep#O
#sep#illness#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#they#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#been#sep#pos#sep#O
#sep#ascribed#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#beneficial#sep#pos#sep#O
#sep#or#sep#pos#sep#O
#sep#detrimental#sep#pos#sep#O
#sep#role#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#foods#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 19#sep#In#sep#pos#sep#O
#sep#processed#sep#pos#sep#O
#sep#meats#sep#pos#sep#B-Organism_subdivision
#sep#,#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#may#sep#pos#sep#O
#sep#survive#sep#pos#sep#O
#sep#heat#sep#pos#sep#O
#sep#processing#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#cause#sep#pos#sep#O
#sep#spoilage#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#though#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#certain#sep#pos#sep#O
#sep#cheeses#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#growth#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#contributes#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#ripening#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#development#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#product#sep#pos#sep#O
#sep#flavour#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 20#sep#Some#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#food#sep#pos#sep#O
#sep#origin#sep#pos#sep#O
#sep#produce#sep#pos#sep#O
#sep#bacteriocins#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#exert#sep#pos#sep#O
#sep#anti#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#Listeria#sep#pos#sep#O
#sep#activity#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 21#sep#Enterococci#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#used#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#probiotics#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#improve#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#microbial#sep#pos#sep#O
#sep#balance#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#intestine#sep#pos#sep#B-Organ
#sep#,#sep#pos#sep#O
#sep#or#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#treatment#sep#pos#sep#O
#sep#for#sep#pos#sep#O
#sep#gastroenteritis#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#humans#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#animals#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 22#sep#On#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#other#sep#pos#sep#O
#sep#hand#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#become#sep#pos#sep#O
#sep#recognised#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#serious#sep#pos#sep#O
#sep#nosocomial#sep#pos#sep#O
#sep#pathogens#sep#pos#sep#O
#sep#causing#sep#pos#sep#O
#sep#bacteraemia#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#endocarditis#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#urinary#sep#pos#sep#B-Multi-tissue_structure
#sep#tract#sep#pos#sep#I-Multi-tissue_structure
#sep#and#sep#pos#sep#O
#sep#other#sep#pos#sep#O
#sep#infections#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 23#sep#This#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#part#sep#pos#sep#O
#sep#explained#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#resistance#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#some#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#these#sep#pos#sep#O
#sep#bacteria#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#most#sep#pos#sep#O
#sep#antibiotics#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#currently#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#use#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 24#sep#Resistance#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#acquired#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#gene#sep#pos#sep#O
#sep#transfer#sep#pos#sep#O
#sep#systems#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#such#sep#pos#sep#O
#sep#as#sep#pos#sep#O
#sep#conjugative#sep#pos#sep#B-Cellular_component
#sep#or#sep#pos#sep#O
#sep#nonconjugative#sep#pos#sep#B-Cellular_component
#sep#plasmids#sep#pos#sep#I-Cellular_component
#sep#or#sep#pos#sep#O
#sep#transposons#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 25#sep#Virulence#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#not#sep#pos#sep#O
#sep#well#sep#pos#sep#O
#sep#understood#sep#pos#sep#O
#sep#but#sep#pos#sep#O
#sep#adhesins#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#haemolysin#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#hyaluronidase#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#aggregation#sep#pos#sep#O
#sep#substance#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#gelatinase#sep#pos#sep#O
#sep#are#sep#pos#sep#O
#sep#putative#sep#pos#sep#O
#sep#virulence#sep#pos#sep#O
#sep#factors#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 26#sep#It#sep#pos#sep#O
#sep#appears#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#foods#sep#pos#sep#O
#sep#could#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#source#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#vancomycin#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#resistant#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 27#sep#This#sep#pos#sep#O
#sep#review#sep#pos#sep#O
#sep#addresses#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#issue#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#health#sep#pos#sep#O
#sep#risk#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#foods#sep#pos#sep#O
#sep#containing#sep#pos#sep#O
#sep#enterococci#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 28#sep#Obstructive#sep#pos#sep#O
#sep#nephropathy#sep#pos#sep#O
#sep#:#sep#pos#sep#O
#sep#lessons#sep#pos#sep#O
#sep#from#sep#pos#sep#O
#sep#cystic#sep#pos#sep#O
#sep#kidney#sep#pos#sep#B-Organ
#sep#disease#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 29#sep#Obstructive#sep#pos#sep#O
#sep#nephropathy#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#one#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#most#sep#pos#sep#O
#sep#important#sep#pos#sep#O
#sep#causes#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#renal#sep#pos#sep#B-Organ
#sep#failure#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#infants#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#children#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#while#sep#pos#sep#O
#sep#polycystic#sep#pos#sep#O
#sep#kidney#sep#pos#sep#B-Organ
#sep#disease#sep#pos#sep#O
#sep#(#sep#pos#sep#O
#sep#PKD#sep#pos#sep#O
#sep#)#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#major#sep#pos#sep#O
#sep#cause#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#renal#sep#pos#sep#B-Organ
#sep#failure#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#adult#sep#pos#sep#O
#sep#population#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 30#sep#This#sep#pos#sep#O
#sep#review#sep#pos#sep#O
#sep#summarizes#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#evidence#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#there#sep#pos#sep#O
#sep#may#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#number#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#mechanisms#sep#pos#sep#O
#sep#common#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#pathophysiology#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#conditions#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 31#sep#In#sep#pos#sep#O
#sep#animal#sep#pos#sep#O
#sep#models#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#obstructive#sep#pos#sep#O
#sep#nephropathy#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#PKD#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#renal#sep#pos#sep#B-Multi-tissue_structure
#sep#tubular#sep#pos#sep#I-Multi-tissue_structure
#sep#expression#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#epidermal#sep#pos#sep#O
#sep#growth#sep#pos#sep#O
#sep#factor#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#suppressed#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#expression#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#clusterin#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#increased#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#which#sep#pos#sep#O
#sep#suggest#sep#pos#sep#O
#sep#arrested#sep#pos#sep#O
#sep#maturation#sep#pos#sep#O
#sep#or#sep#pos#sep#O
#sep#dedifferentiation#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#tubular#sep#pos#sep#B-Cell
#sep#cell#sep#pos#sep#I-Cell
#sep#.#sep#pos#sep#O
Sentence: 32#sep#There#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#marked#sep#pos#sep#O
#sep#increase#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#apoptosis#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#epithelial#sep#pos#sep#B-Cell
#sep#cells#sep#pos#sep#I-Cell
#sep#in#sep#pos#sep#O
#sep#dilated#sep#pos#sep#O
#sep#tubules#sep#pos#sep#B-Multi-tissue_structure
#sep#,#sep#pos#sep#O
#sep#associated#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#an#sep#pos#sep#O
#sep#increase#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#apoptotic#sep#pos#sep#O
#sep#stimuli#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 33#sep#The#sep#pos#sep#O
#sep#renin#sep#pos#sep#O
#sep#-#sep#pos#sep#O
#sep#angiotensin#sep#pos#sep#O
#sep#system#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#activated#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#obstructive#sep#pos#sep#O
#sep#nephropathy#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#PKD#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#which#sep#pos#sep#O
#sep#may#sep#pos#sep#O
#sep#contribute#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#tubular#sep#pos#sep#B-Multi-tissue_structure
#sep#atrophy#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#interstitial#sep#pos#sep#B-Immaterial_anatomical_entity
#sep#fibrosis#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#which#sep#pos#sep#O
#sep#characterize#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#progression#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#conditions#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 34#sep#Focal#sep#pos#sep#O
#sep#cystic#sep#pos#sep#O
#sep#dilatation#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#tubule#sep#pos#sep#B-Multi-tissue_structure
#sep#is#sep#pos#sep#O
#sep#found#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#obstructive#sep#pos#sep#O
#sep#nephropathy#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#while#sep#pos#sep#O
#sep#tubular#sep#pos#sep#B-Multi-tissue_structure
#sep#obstruction#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#present#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#cystic#sep#pos#sep#O
#sep#kidney#sep#pos#sep#B-Organ
#sep#disease#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 35#sep#It#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#therefore#sep#pos#sep#O
#sep#likely#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#elucidation#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#effects#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#mechanical#sep#pos#sep#O
#sep#stretch#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#renal#sep#pos#sep#B-Cell
#sep#tubular#sep#pos#sep#I-Cell
#sep#epithelial#sep#pos#sep#I-Cell
#sep#cells#sep#pos#sep#I-Cell
#sep#will#sep#pos#sep#O
#sep#contribute#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#our#sep#pos#sep#O
#sep#understanding#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#conditions#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 36#sep#Genuine#sep#pos#sep#O
#sep#monovalent#sep#pos#sep#O
#sep#ligands#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#TrkA#sep#pos#sep#O
#sep#nerve#sep#pos#sep#O
#sep#growth#sep#pos#sep#O
#sep#factor#sep#pos#sep#O
#sep#receptors#sep#pos#sep#O
#sep#reveal#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#novel#sep#pos#sep#O
#sep#pharmacological#sep#pos#sep#O
#sep#mechanism#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#action#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 37#sep#Developing#sep#pos#sep#O
#sep#small#sep#pos#sep#O
#sep#molecule#sep#pos#sep#O
#sep#agonistic#sep#pos#sep#O
#sep#ligands#sep#pos#sep#O
#sep#for#sep#pos#sep#O
#sep#tyrosine#sep#pos#sep#O
#sep#kinase#sep#pos#sep#O
#sep#receptors#sep#pos#sep#O
#sep#has#sep#pos#sep#O
#sep#been#sep#pos#sep#O
#sep#difficult#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#it#sep#pos#sep#O
